"","user","sym","qty","jrnl","trd"
"1","A","1003.T",816,0,816
"2","C","1003.T",2411,0,2411
"3","D","1003.T",2880,0,2880
"4","E","1003.T",171,0,171
"5","A","1020.T",2962,-1003,1959
"6","B","1020.T",1850,-627,1223
"7","C","1020.T",-2842,2842,0
"8","D","1020.T",-100,100,0
"9","E","1020.T",3874,-1312,2562
"10","A","1022.T",-1846,-6429,-8275
"11","B","1022.T",-1931,703,-1228
"12","C","1022.T",-1429,520,-909
"13","D","1022.T",636,-636,0
"14","E","1022.T",1258,-1258,0
"15","A","1042.T",1815,-907,908
"16","B","1042.T",-819,819,0
"17","C","1042.T",5341,-2668,2673
"18","D","1042.T",-3861,3861,0
"19","E","1042.T",2212,-1105,1107
"20","A","1074.T",-2482,-4261,-6743
"21","B","1074.T",55,-55,0
"22","C","1074.T",-106,1,-105
"23","D","1074.T",-1463,19,-1444
"24","E","1074.T",-188,2,-186
"25","A","1084.T",-1664,1664,0
"26","B","1084.T",993,-188,805
"27","C","1084.T",1461,-276,1185
"28","D","1084.T",5594,-1057,4537
"29","E","1084.T",756,-143,613
"30","A","1093.T",-2152,-11980,-14132
"31","B","1093.T",-3348,1102,-2246
"32","C","1093.T",-2256,743,-1513
"33","D","1093.T",-1790,589,-1201
"34","E","1093.T",3143,-3143,0
"35","A","1117.T",-2760,-6662,-9422
"36","B","1117.T",-2470,1432,-1038
"37","C","1117.T",757,-757,0
"38","D","1117.T",184,-184,0
"39","E","1117.T",2091,-2091,0
"40","A","1172.T",3495,-655,2840
"41","B","1172.T",-1343,1343,0
"42","C","1172.T",1430,-268,1162
"43","D","1172.T",1954,-367,1587
"44","E","1172.T",280,-53,227
"45","A","1183.T",-1105,1105,0
"46","B","1183.T",5592,-1622,3970
"47","C","1183.T",-1282,1282,0
"48","D","1183.T",2134,-619,1515
"49","E","1183.T",503,-146,357
"50","A","1234.T",118,-118,0
"51","B","1234.T",843,-843,0
"52","C","1234.T",-53,-4212,-4265
"53","D","1234.T",-2286,1873,-413
"54","E","1234.T",955,-955,0
"55","A","1249.T",-1501,1501,0
"56","B","1249.T",501,-261,240
"57","C","1249.T",1816,-948,868
"58","D","1249.T",-188,188,0
"59","E","1249.T",919,-480,439
"60","A","1250.T",2475,-1541,934
"61","B","1250.T",-2599,2599,0
"62","C","1250.T",-470,470,0
"63","D","1250.T",1293,-805,488
"64","E","1250.T",1162,-723,439
"65","A","1275.T",-1481,-7091,-8572
"66","B","1275.T",-110,53,-57
"67","C","1275.T",-2267,1087,-1180
"68","D","1275.T",-1415,678,-737
"69","E","1275.T",2528,-2528,0
"70","A","1303.T",968,-229,739
"71","B","1303.T",-458,458,0
"72","C","1303.T",4668,-1106,3562
"73","D","1303.T",-2332,2332,0
"74","E","1303.T",6142,-1455,4687
"75","A","1310.T",-146,146,0
"76","B","1310.T",1990,-44,1946
"77","C","1310.T",1889,-41,1848
"78","D","1310.T",1065,-23,1042
"79","E","1310.T",1763,-38,1725
"80","A","1315.T",103,-49,54
"81","B","1315.T",4204,-1995,2209
"82","C","1315.T",2628,-1247,1381
"83","D","1315.T",-3907,3907,0
"84","E","1315.T",1299,-616,683
"85","A","1361.T",1348,0,1348
"86","B","1361.T",82,0,82
"87","C","1361.T",1020,0,1020
"88","D","1361.T",592,0,592
"89","E","1361.T",3526,0,3526
"90","A","1368.T",97,-97,0
"91","B","1368.T",-1696,-5364,-7060
"92","C","1368.T",-64,25,-39
"93","D","1368.T",-2585,994,-1591
"94","E","1368.T",1573,-1573,0
"95","A","1391.T",-3190,-3244,-6434
"96","B","1391.T",94,-94,0
"97","C","1391.T",870,-870,0
"98","D","1391.T",250,-250,0
"99","E","1391.T",-39,15,-24
"100","A","1436.T",1888,-1888,0
"101","B","1436.T",-6310,-14596,-20906
"102","C","1436.T",-1343,187,-1156
"103","D","1436.T",-5209,724,-4485
"104","E","1436.T",-723,100,-623
"105","A","1491.T",-1702,-7450,-9152
"106","B","1491.T",-2657,315,-2342
"107","C","1491.T",-1979,235,-1744
"108","D","1491.T",-502,60,-442
"109","E","1491.T",812,-812,0
"110","A","1492.T",-1626,-9579,-11205
"111","B","1492.T",-2595,1130,-1465
"112","C","1492.T",-2946,1282,-1664
"113","D","1492.T",2956,-2956,0
"114","E","1492.T",164,-164,0
"115","A","1497.T",-2145,-6968,-9113
"116","B","1497.T",-637,339,-298
"117","C","1497.T",1133,-1133,0
"118","D","1497.T",-2510,1337,-1173
"119","E","1497.T",1685,-1685,0
"120","A","1525.T",1104,-344,760
"121","B","1525.T",4531,-1411,3120
"122","C","1525.T",-1140,1140,0
"123","D","1525.T",1356,-422,934
"124","E","1525.T",-1037,1037,0
"125","A","1527.T",933,-484,449
"126","B","1527.T",1523,-791,732
"127","C","1527.T",-170,170,0
"128","D","1527.T",-2441,2441,0
"129","E","1527.T",2572,-1336,1236
"130","A","1541.T",-73,73,0
"131","B","1541.T",3602,-1005,2597
"132","C","1541.T",1689,-472,1217
"133","D","1541.T",1843,-515,1328
"134","E","1541.T",-1919,1919,0
"135","A","1574.T",-4098,0,-4098
"136","B","1574.T",-765,0,-765
"137","C","1574.T",-1967,0,-1967
"138","D","1574.T",-4053,0,-4053
"139","A","1593.T",2110,-2110,0
"140","B","1593.T",2312,-2312,0
"141","C","1593.T",-1425,-10421,-11846
"142","D","1593.T",-1674,1071,-603
"143","E","1593.T",-3812,2439,-1373
"144","A","1607.T",-2029,2029,0
"145","B","1607.T",4890,-2661,2229
"146","C","1607.T",3019,-1643,1376
"147","D","1607.T",-52,52,0
"148","E","1607.T",-2223,2223,0
"149","A","1622.T",2257,-2257,0
"150","B","1622.T",-3536,-6203,-9739
"151","C","1622.T",-196,133,-63
"152","D","1622.T",-1392,946,-446
"153","E","1622.T",1225,-1225,0
"154","A","1694.T",-1558,1558,0
"155","C","1694.T",-41,41,0
"156","D","1694.T",4800,-1340,3460
"157","E","1694.T",927,-259,668
"158","A","1706.T",-595,-7150,-7745
"159","B","1706.T",-2395,1068,-1327
"160","C","1706.T",1816,-1816,0
"161","D","1706.T",471,-471,0
"162","E","1706.T",-2138,954,-1184
"163","A","1723.T",2126,-2126,0
"164","B","1723.T",1353,-1353,0
"165","C","1723.T",-2929,-9064,-11993
"166","D","1723.T",-1822,901,-921
"167","E","1723.T",-2283,1129,-1154
"168","A","1736.T",3400,-2718,682
"169","B","1736.T",-2107,2107,0
"170","C","1736.T",3802,-3040,762
"171","D","1736.T",-2909,2909,0
"172","E","1736.T",-742,742,0
"173","A","1759.T",91,-58,33
"174","B","1759.T",2349,-1494,855
"175","C","1759.T",3736,-2377,1359
"176","D","1759.T",-2809,2809,0
"177","E","1759.T",-1120,1120,0
"178","A","1775.T",3294,-209,3085
"179","B","1775.T",2215,-141,2074
"180","C","1775.T",537,-34,503
"181","D","1775.T",4939,-314,4625
"182","E","1775.T",-698,698,0
"183","A","1786.T",-236,-4398,-4634
"184","C","1786.T",-3482,109,-3373
"185","D","1786.T",-554,17,-537
"186","E","1786.T",134,-134,0
"187","A","1811.T",-2701,-8382,-11083
"188","B","1811.T",-103,36,-67
"189","C","1811.T",1277,-1277,0
"190","D","1811.T",-4117,1425,-2692
"191","E","1811.T",1118,-1118,0
"192","A","1822.T",5015,-2167,2848
"193","B","1822.T",-2417,2417,0
"194","C","1822.T",928,-401,527
"195","D","1822.T",-1431,1431,0
"196","E","1822.T",2961,-1280,1681
"197","A","1840.T",1639,-513,1126
"198","B","1840.T",795,-248,547
"199","C","1840.T",2786,-870,1916
"200","D","1840.T",981,-306,675
"201","E","1840.T",-1937,1937,0
"202","A","1913.T",1450,-1450,0
"203","B","1913.T",-5163,-10428,-15591
"204","C","1913.T",-138,21,-117
"205","D","1913.T",-2577,383,-2194
"206","E","1913.T",-1868,278,-1590
"207","A","1921.T",4457,-3317,1140
"208","B","1921.T",1484,-1104,380
"209","C","1921.T",1034,-769,265
"210","D","1921.T",-508,508,0
"211","E","1921.T",-4682,4682,0
"212","A","1944.T",-1505,-13101,-14606
"213","B","1944.T",-3103,2339,-764
"214","C","1944.T",6095,-6095,0
"215","D","1944.T",-3509,2645,-864
"216","E","1944.T",23,-23,0
"217","A","1954.T",591,-202,389
"218","B","1954.T",882,-302,580
"219","C","1954.T",1999,-685,1314
"220","D","1954.T",-1148,1148,0
"221","E","1954.T",-41,41,0
"222","A","1971.T",-2117,-16037,-18154
"223","B","1971.T",182,-182,0
"224","C","1971.T",-8305,5615,-2690
"225","D","1971.T",3829,-3829,0
"226","E","1971.T",3035,-3035,0
"227","A","1982.T",-1373,0,-1373
"228","B","1982.T",-909,0,-909
"229","C","1982.T",-1220,0,-1220
"230","D","1982.T",-127,0,-127
"231","E","1982.T",-3870,0,-3870
"232","A","1984.T",2989,-85,2904
"233","B","1984.T",1261,-36,1225
"234","C","1984.T",-154,154,0
"235","D","1984.T",618,-17,601
"236","E","1984.T",579,-16,563
